Unique_ID,Taxa,Species,x_g,y_g,Reference,Group,Order,Family,Genus,Notes
350,Mammal,Monodon monoceros,899911.9109,71992.95287,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Monodontidae,Monodon,
351,Mammal,Neophocaena phocaenoides,32500,14000,Ernest et al. 2003,Eutherian,Cetacea,Phoceonidae,Neophocaena,
352,Mammal,Orcinus orca,3591699.548,165218.1792,"Olesiuk et al. 1990; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Delphinidae,Orcinus,
353,Mammal,Phocoena phocoena,46698.18486,6070.764032,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Phocoenidae,Phocoena,
354,Mammal,Phocoenoides dalli,111814.9825,7827.048775,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Phocoenidae,Phocoenoides,
355,Mammal,Physeter catodon,17550924.58,1579583.212,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Physeteridae,Physeter,
356,Mammal,Pontoporia blainvillei,37033.94694,4444.073633,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Platanistidae,Pontoporia,
357,Mammal,Stenella coeruleoalba,110891.9448,9980.275032,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Stenella,
358,Mammal,Stenella longirostris,53039.57067,3712.769947,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Stenella,
359,Mammal,Tursiops truncatus,166916.7807,33383.35614,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Tursiops,
360,Mammal,Tursiops truncatus,166916.7807,21699.18149,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Tursiops,
361,Mammal,Pteropus poliocephalus,599.3768983,239.7507593,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Chiroptera,Pteropodidae,Pteropus,
362,Mammal,Pteropus poliocephalus,750,750,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Pteropus,
363,Mammal,Rhinolophus megaphyllus,11.00018528,12.65021307,"Young 2001; after Duncan et al. 2007, method: count",Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
364,Mammal,Rhinolophus megaphyllus,8,8,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
365,Mammal,Anoura geoffroyi,15,15,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Anoura,
366,Mammal,Balantiopteryx plicata,6,6,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Balantiopteryx,
367,Mammal,Carollia perspicillata,19,38.38,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Carollia,
368,Mammal,Chaerephon pumila,11,33,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Chaerephon,
369,Mammal,Cynopterus brachyotis,32,64,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Cynopterus,
370,Mammal,Cynopterus sphinx,44,88,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Cynopterus,
371,Mammal,Dobsonia moluccensis,381,381,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Dobsonia,
372,Mammal,Eidolon helvum,253,253,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Eidolon,
373,Mammal,Eonycteris spelaea,57,114,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Eonycteris,
374,Mammal,Eptesicus fuscus,16,30.08,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Eptesicus,
375,Mammal,Eptesicus regulus,5,5,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Eptesicus,
376,Mammal,Eptesicus serotinus,23,23,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Eptesicus,
377,Mammal,Glossophaga soricina,8,20,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Glossophaga,
378,Mammal,Haplonycteris fischeri,18,18,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Haplonycteris,
379,Mammal,Hipposideros caffer,9,9,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Hipposideros,
380,Mammal,Hipposideros commersoni,99,99,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Hipposideros,
381,Mammal,Hipposideros cyclops,34,34,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Hipposideros,
382,Mammal,Hipposideros lankadiva,52,52,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Hipposideros,
383,Mammal,Lasionycteris noctivagans,8,17.95,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Lasionycteris,
384,Mammal,Lasiurus borealis,11,28.58166667,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Lasiurus,
385,Mammal,Lasiurus cinereus,25,47.5,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Lasiurus,
386,Mammal,Lavia frons,24,24,Ernest et al. 2003,Eutherian,Chiroptera,Megadermatidae,Lavia,
387,Mammal,Macroderma gigas,137.467489,20.62012335,"Hoyle et al.2001; after Duncan et al. 2007, method: count",Eutherian,Chiroptera,Megadermatidae,Macroderma,
388,Mammal,Megaderma lyra,46,46,Ernest et al. 2003,Eutherian,Chiroptera,Megadermatidae,Megaderma,
389,Mammal,Miniopterus schreibersi,11,11.0275,Ernest et al. 2003,Eutherian,Chiroptera,Miniopteridae,Miniopterus,
390,Mammal,Molossus ater,32,32,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Molossus,
391,Mammal,Molossus molossus,14,28,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Molossus,
392,Mammal,Mops condylurus,28,56,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Mops,
393,Mammal,Myotis albescens,5,15,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,
394,Mammal,Myotis daubentoni,7,7,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,
395,Mammal,Myotis lucifugus,8,8.024,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,
396,Mammal,Myotis myotis,25,50,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,
397,Mammal,Myotis nigricans,4,12,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,
398,Mammal,Myotis thysanodes,8,8,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,
399,Mammal,Myotis tricolor,14,14,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,
400,Mammal,Myotis velifer,8,8,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,
401,Mammal,Nyctalus noctula,28,33.88,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Nyctalus,
402,Mammal,Nycteris macrotis,14,28,Ernest et al. 2003,Eutherian,Chiroptera,Nycteridae,Nycteris,
403,Mammal,Nycteris nana,7,7,Ernest et al. 2003,Eutherian,Chiroptera,Nycteridae,Nycteris,
404,Mammal,Nycteris thebaica,8,8,Ernest et al. 2003,Eutherian,Chiroptera,Nycteridae,Nycteris,
405,Mammal,Nyctimene rabori,68,68,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Nyctimene,
406,Mammal,Nyctophilus gouldi,8,15.45,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Nyctophilus,
407,Mammal,Peropteryx kappleri,9,9.477,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Peropteryx,
408,Mammal,Phyllostomus hastatus,92,92,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Phyllostomus,
409,Mammal,Pipistrellus ceylonicus,8,16,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Pipistrellus,
410,Mammal,Pipistrellus mimus,3,18,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Pipistrellus,
411,Mammal,Pipistrellus pipistrellus,6,7.647428572,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Pipistrellus,
412,Mammal,Pipistrellus subflavus,6,12,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Pipistrellus,
413,Mammal,Plecotus auritus,8,8,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Plecotus,
414,Mammal,Plecotus rafinesquii,9,9,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Plecotus,
415,Mammal,Plecotus townsendii,8,8,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Plecotus,
416,Mammal,Pteropus giganteus,804,804,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Pteropus,
417,Mammal,Pteropus rodricensis,254,254,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Pteropus,
418,Mammal,Rhinolophus capensis,13,13,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
419,Mammal,Rhinolophus clivosus,16,16,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
420,Mammal,Rhinolophus euryale,8,8,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
421,Mammal,Rhinolophus ferrumequinum,21,21,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
422,Mammal,Rhinolophus fumigatus,13,13,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
423,Mammal,Rhinolophus hipposideros,5,5,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
424,Mammal,Rhinolophus rouxi,12,12,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,
425,Mammal,Rhinonicteris aurantia,9,9,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Rhinonicteris,
426,Mammal,Rhinopoma hardwickei,14,14,Ernest et al. 2003,Eutherian,Chiroptera,Rhinopomatidae,Rhinopoma,
427,Mammal,Rhinopoma microphyllum,28,28.051282,Ernest et al. 2003,Eutherian,Chiroptera,Rhinopomatidae,Rhinopoma,
428,Mammal,Rousettus aegyptiacus,148.6620099,59.46480396,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Chiroptera,Pteropodidae,Rousettus,
429,Mammal,Rousettus amplexicaudatus,79,158,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Rousettus,
430,Mammal,Rousettus leschenaulti,97,195.5772329,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Rousettus,
431,Mammal,Saccopteryx leptura,5,8,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Saccopteryx,
432,Mammal,Scotophilus heathi,35,70,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Scotophilus,
433,Mammal,Scotophilus kuhlii,23,46,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Scotophilus,
434,Mammal,Tadarida aegyptiaca,17,17,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Tadarida,
435,Mammal,Tadarida brasiliensis,12,12,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Tadarida,
436,Mammal,Taphozous georgianus,28,28,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Taphozous,
437,Mammal,Taphozous longimanus,27,54,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Taphozous,
438,Mammal,Taphozous melanopogon,28,28,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Taphozous,
439,Mammal,Taphozous nudiventris,34,34,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Taphozous,
440,Mammal,Tylonycteris pachypus,4,7.68,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Tylonycteris,
441,Mammal,Uroderma bilobatum,17,34,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Uroderma,
442,Mammal,Sorex araneus,8.072350302,62.15709733,"Hannson 1987; after Duncan et al. 2007, method: count",Eutherian,Eulipotyphla,Soricidae,Sorex,
443,Mammal,Sorex araneus,8.072350302,43.59069163,"Marcstrom et al. 1990; after Duncan et al. 2007, method: count",Eutherian,Eulipotyphla,Soricidae,Sorex,
444,Mammal,Procavia capensis,3600,1451.933856,This Study,Eutherian,Hyracoidea,Procaviidae,Procavia,
445,Mammal,Sorex araneus,9.96,117.8585714,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Sorex,
446,Mammal,Crocidura hirta,13.67,67.42857143,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Crocidura,
447,Mammal,Crocidura russula,11.63,131.5367308,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Crocidura,
448,Mammal,Crocidura suaveolens,7.7,78.505,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Crocidura,
449,Mammal,Echinops telfairi,180,247.2916667,Ernest et al. 2003,Eutherian,Insectivora,Tenrecidae,Echinops,
450,Mammal,Erinaceus europaeus,771,1438.511964,Ernest et al. 2003,Eutherian,Insectivora,Erinaceidae,Erinaceus,
451,Mammal,Neomys fodiens,14.32,99.216,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Neomys,
452,Mammal,Scapanus townsendii,118.8,182.65,Ernest et al. 2003,Eutherian,Insectivora,Talpidae,Scapanus,
453,Mammal,Sorex minutus,4.5,46.760625,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Sorex,
454,Mammal,Sorex vagrans,5.73,79.75,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Sorex,
455,Mammal,Talpa europaea,76.6,207.6687889,Ernest et al. 2003,Eutherian,Insectivora,Talpidae,Talpa,
456,Mammal,Tenrec ecaudatus,868,4577.34375,Ernest et al. 2003,Eutherian,Insectivora,Tenrecidae,Tenrec,
457,Mammal,Lepus americanus,1540.990637,3374.769495,"MacLulich 1937; after Duncan et al. 2007, method: count",Eutherian,Lagomorpha,Leporidae,Lepus,
458,Mammal,Lepus americanus,1540.990637,2219.026517,"Hodges et al. 2001; after Duncan et al. 2007, method: count",Eutherian,Lagomorpha,Leporidae,Lepus,
459,Mammal,Lepus americanus,1540.990637,2619.684083,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Lagomorpha,Leporidae,Lepus,
460,Mammal,Lepus americanus,1500,3321.940632,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Lepus,
461,Mammal,Lepus americanus,1600,400,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Lagomorpha,Leporidae,Lepus,
462,Mammal,Lepus europaeus,3740,4025.112,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Lepus,
463,Mammal,Lepus europaeus,3750,937.5,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Lagomorpha,Leporidae,Lepus,
464,Mammal,Lepus timidus,3048.5,4026.44616,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Lepus,
465,Mammal,Lepus timidus,2988,1284.84,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Lagomorpha,Leporidae,Lepus,
466,Mammal,Oryctolagus cuniculus,1717.51287,3538.076512,"Wood 1980; after Duncan et al. 2007, method: count",Eutherian,Lagomorpha,Leporidae,Oryctolagus,
467,Mammal,Oryctolagus cuniculus,1717.51287,4293.782175,"Caley and Morley 2002; after Duncan et al. 2007, method: count",Eutherian,Lagomorpha,Leporidae,Oryctolagus,
468,Mammal,Oryctolagus cuniculus,1717.51287,3538.076512,"Hone 1999; after Duncan et al. 2007, method: count",Eutherian,Lagomorpha,Leporidae,Oryctolagus,
469,Mammal,Oryctolagus cuniculus,1550,5131.972734,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Oryctolagus,
470,Mammal,Oryctolagus cuniculus,1439,417.31,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Lagomorpha,Leporidae,Oryctolagus,
471,Mammal,Sylvilagus floridanus,1102.5,2359.984528,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae ,Sylvilagus,
472,Mammal,Sylvilagus floridanus,1015,4790.8,Pereira and Daily 2006,Eutherian,Lagomorpha,Leporidae,Sylvilagus,
473,Mammal,Lepus alleni,3759.666667,24255,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Lepus,
474,Mammal,Lepus arcticus,3237.427116,4467.64942,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Lagomorpha,Leporidae,Lepus,
475,Mammal,Lepus californicus,2100,13970.29524,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Lepus,
476,Mammal,Lepus capensis,2197.777778,7978.57321,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Lepus,
477,Mammal,Lepus flavigularis,2750,1127.5,Pereira and Daily 2006,Eutherian,Lagomorpha,Leporidae,Lepus,
478,Mammal,Lepus othus,4506.333333,12864.6,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Lepus,
479,Mammal,Lepus townsendii,2550,8910.022917,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae,Lepus,
480,Mammal,Ochotona princeps,136.5,509.6324354,Ernest et al. 2003,Eutherian,Lagomorpha,Ochotonidae,Ochotona,
481,Mammal,Ochotona rufescens,250,1384.786,Ernest et al. 2003,Eutherian,Lagomorpha,Ochotonidae,Ochotona,
482,Mammal,Sylvilagus aquaticus,2200,1622.81,Ernest et al. 2003,Eutherian,Lagomorpha,Leporidae ,Sylvilagus,
483,Mammal,Sylvilagus brasiliensis,965,1215.9,Pereira and Daily 2006,Eutherian,Lagomorpha,Leporidae,Sylvilagus,
484,Mammal,Elephantulus rufescens,60,219,Fagan et. al. 2009,Eutherian,Macroscelidea,Macroscelididae,Elephantulus,
485,Mammal,Isoodon macrourus,1306.170888,7667.223113,"Fisher et al. 2001; after Duncan et al. 2007, method: Cole 1954",Eutherian,Peramelemorphia,Peramelidae,Isoodon,
486,Mammal,Isoodon macrourus,1050,3622.5,Fagan et. al. 2009,Eutherian,Peramelemorphia,Peramelidae,Isoodon,
487,Mammal,Isoodon obesulus,708.434985,1799.424862,"Fisher et al. 2001; after Duncan et al. 2007, method: Cole 1954",Eutherian,Peramelemorphia,Peramelidae,Isoodon,
488,Mammal,Macrotis lagotis,1170.577036,2458.211776,"Fisher et al. 2001; after Duncan et al. 2007, method: Cole 1954",Eutherian,Peramelemorphia,Peramelidae,Macrotis,
489,Mammal,Perameles gunnii,756.3102739,6564.773177,"Fisher et al. 2001; after Duncan et al. 2007, method: Cole 1954",Eutherian,Peramelemorphia,Peramelidae,Perameles,
490,Mammal,Perameles nasuta,859,3590.62,Fagan et. al. 2009,Eutherian,Peramelemorphia,Peramelidae,Perameles,
491,Mammal,Equus burchelli,276000,97709.17763,Ernest et al. 2003,Eutherian,Perissodactyla,Equidae,Equus,African ecosystems
492,Mammal,Equus burchelli,220000,23709.2108,This Study,Eutherian,Perissodactyla,Equidae,Equus,African ecosystems
493,Mammal,Ceratotherium simum,1600000,146170.112,This Study,Eutherian,Perissodactyla,Rhinocerotidae,Ceratotherium,
494,Mammal,Diceros bicornis,1000000,83649.71,This Study,Eutherian,Perissodactyla,Rhinocerotidae,Diceros,
495,Mammal,Equus asinus,243388.4697,60847.11743,"Choquenot 1990; after Duncan et al. 2007, method: count",Eutherian,Perissodactyla,Equidae,Equus,
496,Mammal,Equus caballus,413047.502,99131.40048,"Garrott et al. 1991; after Duncan et al. 2007, method: count",Eutherian,Perissodactyla,Equidae,Equus,
497,Mammal,Rhinoceros unicornis,1602333.333,344049.7764,Ernest et al. 2003,Eutherian,Perissodactyla,Rhinocerotidae,Rhinoceros,
498,Mammal,Tapirus bairdii,240000,31200,Pereira and Daily 2006,Eutherian,Perissodactyla,Tapiridae,Tapirus,
499,Mammal,Tapirus terrestris,172583.7892,34516.75784,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Perissodactyla,Tapiridae,Tapirus,
500,Mammal,Manis temminckii,7230,948.7,Ernest et al. 2003,Eutherian,Pholidota,Manidae,Manis,
501,Mammal,Alouatta palliata,5596.287274,839.4430911,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Alouatta,
502,Mammal,Alouatta palliata,5596.287274,1007.331709,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Alouatta,
503,Mammal,Alouatta palliata,5600,560,Pereira and Daily 2006,Eutherian,Primate,Cebidae,Alouatta,
504,Mammal,Arctocebus calabarensis,255.7996819,166.2697932,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Loridae,Arctocebus,
505,Mammal,Arctocebus calabarensis,265,100.7,Fagan et. al. 2009,Eutherian,Primate,Loridae,Arctocebus,
506,Mammal,Ateles fusciceps,8369.509372,1088.036218,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Ateles,
507,Mammal,Ateles fusciceps,6000,840,Pereira and Daily 2006,Eutherian,Primate,Cebidae,Ateles,
508,Mammal,Ateles geoffroyi,7179.595885,789.7555474,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Ateles,
509,Mammal,Ateles geoffroyi,7179.595885,717.9595885,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Ateles,
510,Mammal,Ateles geoffroyi,7000,210,Pereira and Daily 2006,Eutherian,Primate,Cebidae,Ateles,
511,Mammal,Callithrix jacchus,256.6847102,218.1820037,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Callitrichidae,Callithrix,
512,Mammal,Callithrix jacchus,323,290.5868774,Ernest et al. 2003,Eutherian,Primate,Callitrichidae,Callithrix,
513,Mammal,Cebus capucinus,2852.331512,456.3730419,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Cebus,
514,Mammal,Cebus capucinus,2852.331512,484.896357,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Cebus,
515,Mammal,Cebus capucinus,3050,183,Pereira and Daily 2006,Eutherian,Primate,Cebidae,Cebus,
516,Mammal,Eulemur fulvus,2331.309857,536.2012671,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Lemuridae,Eulemur,
517,Mammal,Eulemur fulvus,2276,728.32,Fagan et. al. 2009,Eutherian,Primate,Lemuridae,Eulemur,
518,Mammal,Gorilla gorilla,109169.1679,7641.841753,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Hominidae,Gorilla,
519,Mammal,Gorilla gorilla,105000,5146.702936,Ernest et al. 2003,Eutherian,Primate,Hominidae,Gorilla,
520,Mammal,Lemur catta,2327.555257,628.4399194,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Lemuridae,Lemur,
521,Mammal,Lemur catta,2333,723.23,Fagan et. al. 2009,Eutherian,Primate,Lemuridae,Lemur,
522,Mammal,Macaca fuscata,9516.998481,1427.549772,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cercopithecidae,Macaca,
523,Mammal,Macaca fuscata,9516.998481,2284.079635,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cercopithecidae,Macaca,
524,Mammal,Macaca fuscata,8672,1647.68,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Primate,Cercopithecidae,Macaca,
525,Mammal,Macaca mulatta,5654.575407,1187.460835,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cercopithecidae,Macaca,
526,Mammal,Macaca mulatta,5500,1066.088045,This Study,Eutherian,Primate,Cercopithecidae,Macaca,
527,Mammal,Macaca sylvanus,9259.765746,1944.550807,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cercopithecidae,Macaca,
528,Mammal,Macaca sylvanus,10838,2817.88,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Primate,Cercopithecidae,Macaca,
529,Mammal,Pan troglodytes,40271.70343,2013.585172,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Hominidae,Pan,
530,Mammal,Pan troglodytes,40271.70343,5638.03848,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Hominidae,Pan,
531,Mammal,Pan troglodytes,36766.66667,3141.27378,Ernest et al. 2003,Eutherian,Primate,Hominidae,Pan,
532,Mammal,Papio hamadryas,14002.32005,1960.324807,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cercopithecidae,Papio,
533,Mammal,Papio hamadryas,14002.32005,1820.301607,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cercopithecidae,Papio,
534,Mammal,Papio hamadryas,24333.33333,3260.944344,Ernest et al. 2003,Eutherian,Primate,Cercopithecidae,Papio,
535,Mammal,Semnopithecus entellus,11926.14266,2146.705679,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cercopithecidae,Semnopithecus,
536,Mammal,Semnopithecus entellus,6500,1346.465835,This Study,Eutherian,Primate,Cercopithecidae,Semnopithecus,
537,Mammal,Alouatta pigra,6850,959,Pereira and Daily 2006,Eutherian,Primate,Cebidae,Alouatta,
538,Mammal,Alouatta seniculus,5951.13771,1011.693411,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Alouatta,
539,Mammal,Alouatta seniculus,5951.13771,1071.204788,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Alouatta,
540,Mammal,Aotus lemurinus,900,342,Pereira and Daily 2006,Eutherian,Primate,Cebidae,Aotus,
541,Mammal,Aotus trivirgatus,847.6176666,203.42824,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Aotus,
542,Mammal,Aotus trivirgatus,847.6176666,296.6661833,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Aotus,
543,Mammal,Ateles belzebuth,7500.668987,525.0468291,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Ateles,
544,Mammal,Ateles paniscus,8013.08962,560.9162734,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Ateles,
545,Mammal,Ateles paniscus,8013.08962,721.1780658,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Ateles,
546,Mammal,Callicebus moloch,976.1127824,224.50594,"Robinson and Redford 1986; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Callicebus,
547,Mammal,Callicebus moloch,976.1127824,263.5504512,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Cebidae,Callicebus,
548,Mammal,Callimico goeldii,570.0330022,359.1207914,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Callitrichidae,Callimico,
549,Mammal,Callithrix argentata,341.9794425,239.3856098,"Ross 1992; after Duncan et al. 2007, method: Cole 1954",Eutherian,Primate,Callitrichidae,Callithrix,
